kind,sealed,no_shape,no_fap_gate
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,True,True,True
inj,False,True,False
inj,True,True,True
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,True,False
inj,False,True,False
inj,True,True,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,True
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
